date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:04	181/181	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20May%202015%2009:59:30%20GMT	http://webapplayers.com/robots.txt		(from )
10:59:05	78749/78749	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:44%20GMT	http://webapplayers.com/inspinia_admin-v2.1/	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/index.html	(from )
10:59:06	117305/117305	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20May%202015%2018:11:04%20GMT	http://webapplayers.com/inspinia_admin-v2.1/css/bootstrap.min.css	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/css/bootstrap.min.css	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:06	28747/28747	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20May%202015%2018:11:50%20GMT	http://webapplayers.com/inspinia_admin-v2.1/font-awesome/css/font-awesome.css	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/font-awesome/css/font-awesome.css	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:06	6661/6661	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20May%202015%2018:11:40%20GMT	http://webapplayers.com/inspinia_admin-v2.1/css/plugins/toastr/toastr.min.css	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/css/plugins/toastr/toastr.min.css	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:06	2556/2556	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20May%202015%2018:14:33%20GMT	http://webapplayers.com/inspinia_admin-v2.1/js/plugins/gritter/jquery.gritter.css	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/js/plugins/gritter/jquery.gritter.css	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:07	65564/65564	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20May%202015%2018:11:02%20GMT	http://webapplayers.com/inspinia_admin-v2.1/css/animate.css	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/css/animate.css	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:07	128903/128903	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20May%202015%2018:11:41%20GMT	http://webapplayers.com/inspinia_admin-v2.1/css/style.css	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/css/style.css	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:08	33834/33834	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:17%20GMT	http://webapplayers.com/inspinia_admin-v2.1/profile.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/profile.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:08	11988/11988	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20May%202015%2018:12:39%20GMT	http://webapplayers.com/inspinia_admin-v2.1/img/profile_small.jpg	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/img/profile_small.jpg	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:09	35936/35936	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:01%20GMT	http://webapplayers.com/inspinia_admin-v2.1/contacts.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/contacts.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:09	34957/34957	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:14%20GMT	http://webapplayers.com/inspinia_admin-v2.1/mailbox.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/mailbox.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:09	1960/1960	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:13%20GMT	http://webapplayers.com/inspinia_admin-v2.1/login.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/login.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:09	78749/78749	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:44%20GMT	http://webapplayers.com/inspinia_admin-v2.1/index.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/index-2.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:10	73698/73698	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:42%20GMT	http://webapplayers.com/inspinia_admin-v2.1/dashboard_2.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/dashboard_2.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:10	62053/62053	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:43%20GMT	http://webapplayers.com/inspinia_admin-v2.1/dashboard_3.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/dashboard_3.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:11	63857/63857	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:43%20GMT	http://webapplayers.com/inspinia_admin-v2.1/dashboard_4_1.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/dashboard_4_1.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:12	23989/23989	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:07%20GMT	http://webapplayers.com/inspinia_admin-v2.1/layouts.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/layouts.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:12	28063/28063	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:08%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_flot.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/graph_flot.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:12	27409/27409	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:08%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_morris.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/graph_morris.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:12	30185/30185	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:09%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_rickshaw.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/graph_rickshaw.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:13	23594/23594	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:07%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_chartjs.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/graph_chartjs.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:13	27945/27945	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:08%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_peity.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/graph_peity.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:13	28124/28124	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:09%20GMT	http://webapplayers.com/inspinia_admin-v2.1/graph_sparkline.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/graph_sparkline.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:14	29604/29604	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:14%20GMT	http://webapplayers.com/inspinia_admin-v2.1/mail_detail.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/mail_detail.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:14	26380/26380	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:14%20GMT	http://webapplayers.com/inspinia_admin-v2.1/mail_compose.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/mail_compose.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:14	22288/22288	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:44%20GMT	http://webapplayers.com/inspinia_admin-v2.1/email_template.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/email_template.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:15	50472/50472	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:24%20GMT	http://webapplayers.com/inspinia_admin-v2.1/widgets.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/widgets.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:16	51143/51143	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:05%20GMT	http://webapplayers.com/inspinia_admin-v2.1/form_basic.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/form_basic.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
